Q (LPS),DH (z2-z1),V(V),I(A),P(W),TDH (m)
0.0066,0.784,4.0,0.17,0.68,0.8147227183888511
0.0102,0.76,5.5,0.65,3.575,0.823841373369396
0.0105,0.46,5.5,0.65,3.575,0.5270627786873946
0.0119,0.37,5.5,0.65,3.575,0.45300519443221665
0.0122,0.3,5.5,0.65,3.575,0.38661430250998186
0.0126,0.23,5.5,0.65,3.575,0.32153129737612746
0.0147,0.462,4.0,0.19,0.76,0.5812884393492663
0.0171,0.324,4.0,0.2,0.8,0.4789354325668816
0.0176,0.425,4.0,0.19,0.76,0.5878801356861942
0.0183,0.246,4.0,0.19,0.76,0.42029978568134196
0.0207,0.65,5.6,0.29,1.624,0.866059370162223
0.0207,0.65,5.6,0.29,1.624,0.866059370162223
0.022,0.693,5.6,0.3,1.68,0.9333465520517681
0.022,0.49,5.6,0.3,1.68,0.7303465520517681
0.0222,0.62,5.6,0.29,1.624,0.8641861399594
0.0226,0.57,5.5,0.3,1.65,0.8219474707488205
0.0228,0.445,5.5,0.3,1.65,0.7008691479043241
0.023,0.644,5.6,0.3,1.68,0.903818123148973
0.023,0.425,5.6,0.3,1.68,0.684818123148973
0.0235,0.32,5.5,0.3,1.65,0.589809782883747
0.0243,0.592,5.6,0.3,1.68,0.8781496974320557
0.0243,0.351,5.6,0.3,1.68,0.6371496974320559
0.0248,0.36,5.6,0.3,1.68,0.6565822049353909
0.025,0.535,5.6,0.3,1.68,0.8358024794449956
0.0252,0.28,5.6,0.3,1.68,0.5850497241027086
0.0253,0.42,5.6,0.3,1.68,0.7271834515916948
0.0257,0.2,5.5,0.3,1.65,0.5157856496886303
0.0258,0.492,5.6,0.3,1.68,0.8099530043974423
0.0258,0.225,5.6,0.3,1.68,0.5429530043974424
0.0259,0.125,5.6,0.31,1.736,0.44512707451034855
0.0267,0.11,5.5,0.3,1.65,0.4477609980041021
0.222,0.62,5.6,0.29,1.624,16.87361199752354
0.248,0.36,5.6,0.3,1.68,20.40783349154288
0.253,0.42,5.6,0.3,1.68,21.241886769998807
0.259,0.125,5.6,0.31,1.736,21.894631433967984
